Slovo;Rod;Slovo2;Rod2
Kde;;Kde;
tá;ženský;tá;ženský
ľudská;ženský;ľudská;ženský
duša;ženský;duša;ženský
drieme;;drieme;
Prečo;;Prečo;
to;stredný;to;stredný
tu;;tu;
píšem;;píšem;
Prečo;;Prečo;
je;;je;
dnešný;mužský neživotný;dnešný;mužský neživotný
humor;mužský neživotný;humor;mužský neživotný
suchý;mužský neživotný;suchý;mužský neživotný
Aby;;Aby;
sa;;sa;
ľudia;mužský životný;ľudia;mužský životný
mohli;ženský;mohli;mužský životný
smiať;;smiať;
Prečo;;Prečo;
prirodzení;stredný;prirodzení;mužský životný
Aby;;Aby;
nás;;nás;všeobecný
z;stredný;z;
farizejstva;stredný;farizejstva;stredný
Prečo;;Prečo;
existuje;;existuje;
láska;ženský;láska;ženský
Vhodná;ženský;Vhodná;ženský
je;;je;
paralela;ženský;paralela;ženský
z;stredný;z;
čias;mužský neživotný;čias;mužský neživotný
môjho;mužský neživotný;môjho;mužský životný
starého;mužský životný;starého;mužský životný
otca;mužský životný;otca;mužský životný
Spustili;ženský;Spustili;mužský životný
novú;ženský;novú;ženský
internetovú;ženský;internetovú;ženský
televíziu;ženský;televíziu;ženský
Ľahká;ženský;Ľahká;ženský
otázka;ženský;otázka;ženský
ťažká;;ťažká;ženský
odpoveď;ženský;odpoveď;ženský
Autobusy;mužský neživotný;Autobusy;mužský neživotný
sú;;sú;
pohodlím;stredný;pohodlím;stredný
na;;na;
európskej;ženský;európskej;ženský
úrovni;ženský;úrovni;ženský
Iných;ženský;Iných;mužský životný
stopárov;mužský neživotný;stopárov;mužský životný
som;;som;
tu;;tu;
zatiaľ;;zatiaľ;
ešte;;ešte;
Ako;;Ako;
dopadol;mužský neživotný;dopadol;mužský neživotný
Bohužiaľ;;Bohužiaľ;
Silný;mužský neživotný;Silný;mužský neživotný
vietor;mužský neživotný;vietor;mužský neživotný
ma;;ma;všeobecný
posiela;;posiela;
späť;;späť;
na;;na;
vajíčko;stredný;vajíčko;stredný
Na;;Na;
zastávke;ženský;zastávke;ženský
na;;na;
Záhradkách;ženský;Záhradkách;ženský
nás;;nás;všeobecný
čakal;mužský neživotný;čakal;mužský neživotný
veľmi;;veľmi;
zaujímavý;mužský neživotný;zaujímavý;mužský neživotný
pohľad;mužský neživotný;pohľad;mužský neživotný
Bežné;ženský;Bežné;ženský
prachovky;ženský;prachovky;ženský
naňho;mužský životný;naňho;mužský životný
Ja;stredný;Ja;všeobecný
som;;som;
chcela;ženský;chcela;ženský
vyhrávať;;vyhrávať;
A;;A;
vyhrávam;;vyhrávam;
slovenskej;ženský;slovenskej;ženský
kultúrnej;ženský;kultúrnej;ženský
histórie;ženský;histórie;ženský
Od;;Od;
tej;ženský;tej;ženský
chvíle;ženský;chvíle;ženský
vstupuje;;vstupuje;
do;;do;
hry;ženský;hry;ženský
slovenská;ženský;slovenská;ženský
časť;ženský;časť;ženský
Uhorska;stredný;Uhorska;stredný
Do;;Do;
slovenských;ženský;slovenských;ženský
častí;mužský životný;častí;ženský
Uhorska;stredný;Uhorska;stredný
sa;;sa;
vtedy;;vtedy;
utiahla;ženský;utiahla;ženský
jedna;ženský;jedna;ženský
časť;ženský;časť;ženský
českých;ženský;českých;mužský životný
protestantov;mužský životný;protestantov;mužský životný
a;stredný;a;
tu;;tu;
